KM12,CON1,,,,718LH/738RH,737RH/718LH,,,,,,,,
KM12,CON2,,,,718RH/737LH,738LH/718RH,,,,,,,,
KM12,CON3,LH,,,718LH/738RH,737RH/718LH,,,,,,,,
KM12,CON3,RH,,,718RH/737LH,738LH/718RH,,,,,,,,
KM12,CON4,,,,718RH/737LH,738LH/738LH,737LH/718RH,,,,,,,
KM12,CON5,,,,718LH/737RH,738RH/738RH,737RH/718LH,,,,,,,
KM12,CON6,LH,,,718RH/737LH,738LH/738LH,737LH/718RH,,,,,,,
KM12,CON6,RH,,,718LH/737RH,738RH/738RH,737RH/718LH,,,,,,,
KM12,CON7,,,,718LH/738RH,737RH/737LH,738LH/718RH,,,,,,,
KM12,CON8,,,,718RH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,,,,,,
KM12,CON9,,,,718LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,,,,,
KM12,CONA,LH,,,718RH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,,,,,,
KM12,CONA,RH,,,718LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,,,,,
KM12,CONB,,,,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/718RH,,,,,
KM12,CONC,,,,718LH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH,,,,,
KM12,COND,LH,,,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/718RH,,,,,
KM12,COND,RH,,,718LH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONE,,,OLD,718RH/737LH,738LH/718RH,706LH/718RH,,,,,,,
KM12,CONE,,,NEW,718RH/737LH,738LH/753RH,755LH/718RH,,,,,,,
KM12,CONF,,,OLD,718LH/706RH,718LH/738RH,737RH/718LH,,,,,,,
KM12,CONF,,,NEW,718LH/755RH,753LH/738RH,737RH/718LH,,,,,,,
KM12,CONG,,,OLD,718RH/737LH,738LH/718RH,706LH/718RH,,,,,,,
KM12,CONG,,,NEW,718RH/737LH,738LH/753RH,755LH/718RH,,,,,,,
KM12,CONH,,,OLD,718LH/706RH,718LH/738RH,737RH/718LH,,,,,,,
KM12,CONH,,,NEW,718LH/755RH,753LH/738RH,737RH/718LH,,,,,,,
KM12,CONI,,,OLD,718LH/706RH,718LH/738RH,737RH/718LH,,,,,,,
KM12,CONI,,,NEW,718LH/755RH,753LH/738RH,737RH/718LH,,,,,,,
KM12,CONJ,,,OLD,718RH/737LH,738LH/718RH,706LH/718RH,,,,,,,
KM12,CONJ,,,NEW,718RH/737LH,738LH/753RH,755LH/718RH,,,,,,,
KM12,CONK,LH,,OLD,718RH/737LH,738LH/718RH,706RH/738RH,737RH/718LH,,,,,,
KM12,CONK,LH,,NEW,718RH/737LH,738LH/753RH,755RH/738RH,737RH/718LH,,,,,,
KM12,CONK,RH,,OLD,718RH/737LH,738LH/706LH,718LH/738RH,737RH/718LH,,,,,,
KM12,CONK,RH,,NEW,718RH/737LH,738LH/755LH,753LH/738RH,737RH/718LH,,,,,,
KM12,CONL,LH,,OLD,718RH/737LH,738LH/718RH,706RH/738RH,737RH/718LH,,,,,,
KM12,CONL,LH,,NEW,718RH/737LH,738LH/753RH,755RH/738RH,737RH/718LH,,,,,,
KM12,CONL,RH,,OLD,718RH/737LH,738LH/706LH,718LH/738RH,737RH/718LH,,,,,,
KM12,CONL,RH,,NEW,718RH/737LH,738LH/755LH,753LH/738RH,737RH/718LH,,,,,,
KM12,CONM,LH,,OLD,718RH/737LH,738LH/718RH,706RH/738RH,737RH/718LH,,,,,,
KM12,CONM,LH,,NEW,718RH/737LH,738LH/753RH,755RH/738RH,737RH/718LH,,,,,,
KM12,CONM,RH,,OLD,718RH/737LH,738LH/706LH,718LH/738RH,737RH/718LH,,,,,,
KM12,CONM,RH,,NEW,718RH/737LH,738LH/755LH,753LH/738RH,737RH/718LH,,,,,,
KM12,CONN,LH,,OLD,718RH/737LH,738LH/718RH,706RH/738RH,737RH/718LH,,,,,,
KM12,CONN,LH,,NEW,718RH/737LH,738LH/753RH,755RH/738RH,737RH/718LH,,,,,,
KM12,CONN,RH,,OLD,718RH/737LH,738LH/706LH,718LH/738RH,737RH/718LH,,,,,,
KM12,CONN,RH,,NEW,718RH/737LH,738LH/755LH,753LH/738RH,737RH/718LH,,,,,,
KM12,CONO,,,OLD,718RH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/718RH,,,,,
KM12,CONO,,,NEW,718RH/737LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/718RH,,,,,
KM12,CONP,,,OLD,718LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONP,,,NEW,718LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONQ,,,OLD,718RH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/718RH,,,,,
KM12,CONQ,,,NEW,718RH/737LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/718RH,,,,,
KM12,CONR,,,OLD,718LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONR,,,NEW,718LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONS,,,OLD,718LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONS,,,NEW,718LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,737RH/718LH,,,,,
KM12,CONT,,,OLD,718RH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/718RH,,,,,
KM12,CONT,,,NEW,718RH/737LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/718RH,,,,,
KM12,CONU,LH,,OLD,718RH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONU,LH,,NEW,718RH/737LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONU,RH,,OLD,718RH/737LH,738LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONU,RH,,NEW,718RH/737LH,738LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONV,LH,,OLD,718RH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONV,LH,,NEW,718RH/737LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONV,RH,,OLD,718RH/737LH,738LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONV,RH,,NEW,718RH/737LH,738LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,737RH/718LH,,,,
KM12,CONW,LH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONW,LH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONW,RH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONW,RH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONX,LH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONX,LH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONX,RH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONX,RH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,738RH/738RH,737RH/718LH,,
KM12,CONY,LH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH
KM12,CONY,LH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/753RH,755RH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH
KM12,CONY,RH,,OLD,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/706LH,718LH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH
KM12,CONY,RH,,NEW,718RH/737LH,738LH/738LH,738LH/738LH,738LH/738LH,737LH/755LH,753LH/737RH,738RH/738RH,738RH/738RH,738RH/738RH,737RH/718LH
KM12,CONZ,,,,708LH/718LH,,,,,,,,,
KM12,COP1,,,,708RH/718RH,,,,,,,,,
KM12,COP2,,,,708LH/737LH,738LH/718RH,,,,,,,,
KM12,COP3,,,,718LH/738RH,737RH/708RH,,,,,,,,
KM12,COP4,,,,708LH/737LH,738LH/738LH,737LH/718RH,,,,,,,
KM12,COP5,,,,718LH/737RH,738RH/738RH,737RH/708RH,,,,,,,
KM12,COP6,,,,708LH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,,,,,,
KM12,COP7,,,,718LH/737RH,738RH/738RH,738RH/738RH,737RH/708RH,,,,,,
KM12,COP8,LH,,OLD,708LH/718LH,706LH/708RH,,,,,,,,
KM12,COP8,LH,,NEW,708LH/753LH,755LH/708RH,,,,,,,,
KM12,COP8,RH,,OLD,708LH/706RH,718RH/708RH,,,,,,,,
KM12,COP8,RH,,NEW,708LH/755RH,753RH/708RH,,,,,,,,
KM12,COP9,LH,,OLD,708LH/737LH,738LH/718RH,706RH/738RH,737RH/708RH,,,,,,
KM12,COP9,LH,,NEW,708LH/737LH,738LH/753RH,755RH/738RH,737RH/708RH,,,,,,
KM12,COP9,RH,,OLD,708LH/737LH,738LH/706LH,718LH/738RH,737RH/708RH,,,,,,
KM12,COP9,RH,,NEW,708LH/737LH,738LH/755LH,753LH/738RH,737RH/708RH,,,,,,
KM12,COPA,LH,,OLD,708LH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/708RH,,,,
KM12,COPA,LH,,NEW,708LH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/708RH,,,,
KM12,COPA,RH,,OLD,708LH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/708RH,,,,
KM12,COPA,RH,,NEW,708LH/737LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,737RH/708RH,,,,
KM12,COPB,LH,,OLD,708LH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/708RH,,
KM12,COPB,LH,,NEW,708LH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/708RH,,
KM12,COPB,RH,,OLD,708LH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/708RH,,
KM12,COPB,RH,,NEW,708LH/737LH,738LH/738LH,738LH/738LH,737LH/718RH,706RH/737RH,738RH/738RH,738RH/738RH,737RH/708RH,,
KMHI,CON1,,,,705/708RH,707RH/705,,,,,,,,
KMHI,CON2,,,,705/707LH,708LH/705,,,,,,,,
KMHI,CON3,LH,,,705/708RH,707RH/705,,,,,,,,
KMHI,CON3,RH,,,705/707LH,708LH/705,,,,,,,,
KMHI,CON4,,,,705/707LH,708LH/708LH,707LH/705,,,,,,,
KMHI,CON5,,,,705/707RH,708RH/708RH,707RH/705,,,,,,,
KMHI,CON6,LH,,,705/707LH,708LH/708LH,707LH/705,,,,,,,
KMHI,CON6,RH,,,705/707RH,708RH/708RH,707RH/705,,,,,,,
KMHI,CON7,,,,705/708RH,707RH/707LH,708LH/705,,,,,,,
KMHI,CON8,,,,705/707LH,708LH/708LH,708LH/708LH,707LH/705,,,,,,
KMHI,CON9,,,,705/707RH,708RH/708RH,708RH/708RH,707RH/705,,,,,,
KMHI,CONA,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/705,,,,,,
KMHI,CONA,RH,,,705/707RH,708RH/708RH,708RH/708RH,707RH/705,,,,,,
KMHI,CONB,,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/705,,,,,
KMHI,CONC,,,,705/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705,,,,,
KMHI,COND,LH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/705,,,,,
KMHI,COND,RH,,,705/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705,,,,,
KMHI,CONE,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONF,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONG,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONH,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONI,,,,705/706RH,718LH/708RH,707RH/705,,,,,,,
KMHI,CONJ,,,,705/707LH,708LH/718RH,706LH/705,,,,,,,
KMHI,CONK,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONK,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONL,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONL,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONM,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONM,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONN,LH,,,705/707LH,708LH/718RH,706RH/708RH,707RH/705,,,,,,
KMHI,CONN,RH,,,705/707LH,708LH/706LH,718LH/708RH,707RH/705,,,,,,
KMHI,CONO,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONP,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONQ,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONR,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONS,,,,705/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,,
KMHI,CONT,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/705,,,,,
KMHI,CONU,,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONU,RH,,,705/707LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONV,LH,,,705/707LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONV,RH,,,705/707LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,707RH/705,,,,
KMHI,CONW,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONW,RH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONX,LH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONX,RH,,,705/707LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,707RH/705,,
KMHI,CONY,LH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/718RH,706RH/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705
KMHI,CONY,RH,,,705/707LH,708LH/708LH,708LH/708LH,708LH/708LH,707LH/706LH,718LH/707RH,708RH/708RH,708RH/708RH,708RH/708RH,707RH/705
KM,CON1,,,,705/707LH,707LH/705,,,,,,,,
KM,CON2,,,,705/707RH,707RH/705,,,,,,,,
KM,CON3,LH,,,705/707LH,707LH/705,,,,,,,,
KM,CON3,RH,,,705/707RH,707RH/705,,,,,,,,
KM,CON4,,3/5 TRACK,,705/707LH,707LH/707LH,707LH/705,,,,,,,
KM,CON4,,4 TRACK,,705/707LH,708LH/707LH,707LH/705,,,,,,,
KM,CON5,,3/5 TRACK,,705/707RH,707RH/707RH,707RH/705,,,,,,,
KM,CON5,,4 TRACK,,705/707RH,707RH/708RH,707RH/705,,,,,,,
KM,CON6,LH,3/5 TRACK,,705/707LH,707LH/707LH,707LH/705,,,,,,,
KM,CON6,LH,4 TRACK,,705/707LH,708LH/707LH,707LH/705,,,,,,,
KM,CON6,RH,3/5 TRACK,,705/707RH,707RH/707RH,707RH/705,,,,,,,
KM,CON6,RH,4 TRACK,,705/707RH,707RH/708RH,707RH/705,,,,,,,
KM,CON7,,,,705/707RH,707RH/707LH,707LH/705,,,,,,,
KM,CON8,,,,705/707LH,707LH/707LH,707LH/707LH,707LH/705,,,,,,
KM,CON9,,,,705/707RH,707RH/707RH,707RH/707RH,707RH/705,,,,,,
KM,CONA,LH,,,705/707LH,707LH/707LH,707LH/707LH,707LH/705,,,,,,
KM,CONA,RH,,,705/707RH,707RH/707RH,707RH/707RH,707RH/705,,,,,,
KM,CONE,,,,705/707LH,707LH/718RH,706LH/705,,,,,,,
KM,CONF,,,,705/706RH,718LH/707RH,707RH/705,,,,,,,
KM,CONG,,,,705/707LH,707LH/718RH,706LH/705,,,,,,,
KM,CONH,,,,705/706RH,718LH/707RH,707RH/705,,,,,,,
KM,CONI,,,,705/706RH,718LH/707RH,707RH/705,,,,,,,
KM,CONJ,,,,705/707LH,707LH/718RH,706LH/705,,,,,,,
KM,CONK,LH,,,705/707LH,707LH/718RH,706RH/707RH,707RH/705,,,,,,
KM,CONK,RH,,,705/707LH,707LH/706LH,718LH/707RH,707RH/705,,,,,,
KM,CONL,LH,,,705/707LH,707LH/718RH,706RH/707RH,707RH/705,,,,,,
KM,CONL,RH,,,705/707LH,707LH/706LH,718LH/707RH,707RH/705,,,,,,
KM,CONM,LH,,,705/707LH,707LH/718RH,706RH/707RH,707RH/705,,,,,,
KM,CONM,RH,,,705/707LH,707LH/706LH,718LH/707RH,707RH/705,,,,,,
KM,CONN,LH,,,705/707LH,707LH/718RH,706RH/707RH,707RH/705,,,,,,
KM,CONN,RH,,,705/707LH,707LH/706LH,718LH/707RH,707RH/705,,,,,,
